customer_id,gender,age_group,income_group,offer_id,offer_type,difficulty_group,reward_group,duration_group,channel_web,channel_email,channel_mobile,channel_social,event,association_items
CUST_6834,M,Muda,Sedang,OFFER_9,bogo,Rendah,Sedang,Sedang,Ya,Ya,Ya,Ya,offer_received,"gender_M, age_Muda, income_Sedang, offer_bogo, difficulty_Rendah, reward_Sedang, duration_Sedang, channel_web, channel_email, channel_mobile, channel_social, event_offer_received"
CUST_4899,F,Dewasa_Awal,Sedang,OFFER_8,bogo,Sedang,Besar,Sedang,Tidak,Ya,Ya,Ya,offer_viewed,"gender_F, age_Dewasa_Awal, income_Sedang, offer_bogo, difficulty_Sedang, reward_Besar, duration_Sedang, channel_email, channel_mobile, channel_social, event_offer_viewed"
CUST_605,M,Dewasa,Tinggi,OFFER_3,discount,Sedang,Kecil,Panjang,Ya,Ya,Ya,Ya,offer_received,"gender_M, age_Dewasa, income_Tinggi, offer_discount, difficulty_Sedang, reward_Kecil, duration_Panjang, channel_web, channel_email, channel_mobile, channel_social, event_offer_received"
CUST_1545,M,Lansia,Tinggi,OFFER_2,discount,Tinggi,Sedang,Panjang,Ya,Ya,Tidak,Tidak,offer_received,"gender_M, age_Lansia, income_Tinggi, offer_discount, difficulty_Tinggi, reward_Sedang, duration_Panjang, channel_web, channel_email, event_offer_received"
CUST_15625,F,Dewasa,Sedang,OFFER_5,bogo,Rendah,Sedang,Sedang,Ya,Ya,Ya,Tidak,offer_received,"gender_F, age_Dewasa, income_Sedang, offer_bogo, difficulty_Rendah, reward_Sedang, duration_Sedang, channel_web, channel_email, channel_mobile, event_offer_received"
CUST_8816,M,Dewasa,Tinggi,OFFER_8,bogo,Sedang,Besar,Sedang,Tidak,Ya,Ya,Ya,offer_received,"gender_M, age_Dewasa, income_Tinggi, offer_bogo, difficulty_Sedang, reward_Besar, duration_Sedang, channel_email, channel_mobile, channel_social, event_offer_received"
CUST_7870,M,Lansia,Sedang,OFFER_8,bogo,Sedang,Besar,Sedang,Tidak,Ya,Ya,Ya,offer_viewed,"gender_M, age_Lansia, income_Sedang, offer_bogo, difficulty_Sedang, reward_Besar, duration_Sedang, channel_email, channel_mobile, channel_social, event_offer_viewed"
CUST_7695,F,Lansia,Sedang,OFFER_3,discount,Sedang,Kecil,Panjang,Ya,Ya,Ya,Ya,offer_viewed,"gender_F, age_Lansia, income_Sedang, offer_discount, difficulty_Sedang, reward_Kecil, duration_Panjang, channel_web, channel_email, channel_mobile, channel_social, event_offer_viewed"
CUST_8288,M,Muda,Sedang,OFFER_6,informational,Tidak_Ada,Tidak_Ada,Sedang,Ya,Ya,Ya,Tidak,offer_received,"gender_M, age_Muda, income_Sedang, offer_informational, difficulty_Tidak_Ada, reward_Tidak_Ada, duration_Sedang, channel_web, channel_email, channel_mobile, event_offer_received"
CUST_6874,M,Dewasa_Awal,Rendah,OFFER_8,bogo,Sedang,Besar,Sedang,Tidak,Ya,Ya,Ya,offer_viewed,"gender_M, age_Dewasa_Awal, income_Rendah, offer_bogo, difficulty_Sedang, reward_Besar, duration_Sedang, channel_email, channel_mobile, channel_social, event_offer_viewed"
